region,demographic-type,demographic,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
15,,,,,,,,,0.07518148317044011,,,,,,0.0797532703404187,0.08749867132950817,0.08263458843737287
16,,,0.31311242290341756,0.28216024168822246,0.21460296789924957,0.15198915480473435,0.12371022600436556,0.12140728036232466,0.12374440466945723,0.1189726977090547,0.13095780427828596,0.13101491497824796,0.14257515933712847,0.15388913325170295,0.15625409337404633,0.18548604541694658,0.17408432261837148
17,,,0.14824063277885643,0.13662655395404366,0.12619068285692367,0.11096695561745402,0.10410433001182018,0.10515164398154807,0.10444179555644809,0.10423434563606006,0.10299237797466004,0.10271261740760773,0.10316579636241414,0.09997248943042669,0.10318630159197699,0.10868445204777998,0.10397874149263946
18,,,0.12698658430456647,0.1169964828415949,0.10527307437348335,0.08303752673621585,0.07626183850479733,0.07643559011172138,0.07747990954692438,0.07787138693819526,0.07514409595913234,0.07235756131207569,0.07617552268907767,0.07535078284021957,0.07904683603886888,0.08103954045532394,0.08122136252549123
19,,,0.15287806793426378,0.12495624687357929,,0.09659452905029081,,0.088535751103419,0.08570489339720108,0.08500775309717541,0.08270295768149791,0.07946998568832714,0.0856146826617451,0.08481907765001337,0.08947812385605831,0.09572453692381863,0.08535468309736392
20,,,0.16941688318831574,0.14104586759495621,0.12623101281169344,0.10715521944562754,,0.09691448084277113,0.09852834824734902,0.09323259591779866,0.09587959679415128,0.09391565174669667,0.09869333598257278,0.09368416857791073,0.09512781919732335,0.10177377643911314,0.09600750210928173
21,,,0.12546793467060602,0.11025684963568073,0.09683621383089888,0.08032862473012053,0.0774830359637106,0.07837760203634576,0.07723428488260732,0.07963348080611972,0.08082350983356487,0.07158473423827613,0.0743790748074549,0.07289020594468636,0.0758489830351632,0.07820848108101201,0.07742285525373052
22,,,0.12854442178826855,0.13628762638969105,0.11360777003099702,0.09504944780689632,0.08482410019663161,0.08522329692034294,0.08800983472203251,0.08293899636859342,0.08057040211896266,0.08096445897115276,0.0814212837551033,0.07654759856224756,0.08774108458086397,0.08811744987327483,0.08094572484820795
23,,,,0.16991294322610961,,,,,,,,,,0.11687674686043971,0.12288215601238411,0.13733545323313345,0.12892311629415598
24,,,0.15978888412248168,0.1368313102735258,0.11605389174105248,0.0928941515031315,0.08584060974579731,0.08402657271261237,0.08430633253068498,0.0852897371017321,0.09022168467386144,0.08665023971498417,0.08837933681081242,0.08520281184270778,0.09188448352453939,0.09559624387943806,0.09448068703603234
25,,,0.1496574417213651,0.129982696014592,0.11763866272547605,0.10153089357234316,0.09686061446115318,0.1001628464828099,0.0977836068587935,0.10252130982942381,0.10233394381166383,0.101085441153072,0.1074882974195155,0.10555999113665379,0.10768552793679223,0.11597302486620314,0.10887191489071532
26,,,0.1342932645331568,0.11537372008057728,0.1011270152912366,0.08479032992124473,0.07947207676018934,0.08144765229293617,0.08065844654118853,0.07787094156951323,0.07972307253104867,0.07983002358142843,0.0790799977647365,0.07759353709450442,0.08034601830481433,0.08538600282530014,0.08133690108910141
27,,,0.18495592818029852,0.14956749758644963,0.13323851595568675,0.1095669959584663,0.107797409037297,0.09817678147362333,0.0937872406331069,0.09621245078016152,0.09688778694809752,0.0964029323368823,0.10009062333091087,0.09603921528863188,0.09943893802447977,0.10274249324280817,0.09864118793566673
28,,,0.12780704920915517,,0.10435911007905475,0.07910968360875852,0.07141471433776288,0.07466635785720345,0.07073481962620996,0.07145212707485984,,0.07222949718906874,0.07261238272012678,0.0711192802528031,0.07622527614095319,0.07675225258468578,0.07798668682246755
