region,demographic-type,demographic,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
34,,,0.08146090322440348,0.0717723954841066,0.06476845015377442,0.05676989163106192,0.05742929927332919,0.060740066332834755,0.05960187422126808,0.05981603153745072,0.059732962642805414,0.059210834896810505,0.05840350560699259,0.05795597630928508,0.060172120250950395
35,,,0.09555469425479264,0.08069121846389354,0.07183959186094797,0.0571445959104187,0.051942369597149735,,0.05268314265849188,0.05350225439766305,0.05080794532796832,0.051411161000641435,,,0.0565377890033029
36,,,0.08624373014167226,0.07715810443955863,0.07419163529472436,0.06751096565395882,0.06976466527028324,0.07046356453935113,0.06830601787043553,0.0694127082608235,0.06867147446338273,0.06613326416393148,0.06595943576095563,0.06409684628633522,0.06656571625547841
37,,,0.09747241827400821,0.08202084521518956,0.07381534814515926,0.060875952621430536,0.061124401116804714,0.06079366895242966,0.05796654693614968,0.05927617567875273,0.06071190062775478,0.06346127199667452,0.0652799420653446,0.06850152126589691,0.07097895734359212
38,,,,,,,,,,,,,,,0.05889767388564226
39,,,0.06668671205515346,0.059432016672743004,0.0552064531942866,0.04624101411882337,0.04673775189064775,0.047019565307586074,0.04611702253714719,0.04619753263177989,0.04588947939197488,0.044951030665059344,0.0449599117939622,0.0468742451326151,0.04933759984485413
40,,,0.09110845295055821,0.0781582628793869,0.07292172330097087,0.06381618016536476,0.05699194628805494,0.059701723444413504,0.059565651139590205,0.06043863799392561,0.058611895436742875,0.05839438200542992,0.05745620715917746,0.05798165137614679,0.05950815159208393
41,,,0.1055589794157525,0.08610344994435573,0.07634991173068728,0.06186156426284495,0.05974156737707669,0.060783804827407216,0.05833526667182223,0.060254643804858135,0.06076708051071546,0.06458582840492388,0.0677853484101672,0.0676297957625501,0.07224731624332727
42,,,0.06829194008361714,0.06028997311293032,0.05723600627755773,0.047574153997754415,0.04601770761773452,0.047390166178944884,0.047100162248826336,0.0479228458071723,0.04701914540471687,0.04813004674883128,0.04752172181681228,0.048727966432380615,0.05147080091400804
44,,,,,,,,,,,,0.05188612435673481,,,0.059515506579253266
45,,,0.09535911894739629,0.08178846908092562,0.07068315587593413,0.05796902460456942,0.05581897761068402,0.054994228384945346,0.055056451727721854,0.05799693408277976,0.058318021201413425,0.06497963283298923,0.06098779970149663,0.0624079155458834,0.06847091383256161
46,,,,,,,,,,,,,,,0.05939045312342315
47,,,0.08916256681082574,0.07762571509845444,0.069980254357842,0.05654544064148923,0.05893620812544548,0.05849745369327144,0.057191962821832,0.057371679016808244,0.0567715690151986,0.05860545827417574,0.0596761964229963,0.06108086575487983,0.0634843818741751
48,,,0.10022162382513536,0.08931419457735247,0.08524138008515993,0.07133567489032767,0.07172790836900902,0.07545988148397786,0.07541168850855072,0.07494383210066588,0.0762568680404965,0.07803266337573869,0.07703722022999876,0.07933167592491278,0.08287992695328472
49,,,0.14046494510212845,0.12587140998504767,0.10482870872732909,0.0864507253120764,0.08336068937217891,0.08180663141932046,0.08173395767599831,0.07838507850312831,0.08003457216940363,0.08099331781665291,0.08343580802055611,0.08565329697926383,0.09170252425831403
50,,,,,,,,,,,,,,,0.04377996467322735
51,,,0.09907096121172686,0.07974633656981119,0.07231826401446655,0.05885145811850412,0.057013193880924476,0.059323059239878406,0.05776613522424461,0.05924691719391469,0.058297741841382866,0.060803635742557344,0.058638366098154725,0.05861022772964872,0.06146994292545321
53,,,0.11385191954720343,0.09475757940327238,0.0851148625784863,0.06902000046931098,0.06503884572697004,0.06939880612843359,0.06610331198037345,0.06747804285906966,0.06951319648093841,0.07356249472140537,0.07383243830326434,0.0756566227430917,0.08112850281102184
54,,,,,,,,,,,,,,,0.04466769064718336
55,,,0.07606551096638253,0.06300467590325586,0.05458771141752275,0.0462299283225884,0.0454402115863893,0.0451406781407812,0.04368305254568179,0.04457711028830553,0.04588357588357588,0.04627273291539942,0.04564056393362117,0.0461017297130832,0.0487632218813801
56,,,,,,,,,,,,,,,0.09097244219195438
