region,demographic-type,demographic,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
26,,,0.9425580980384528,0.8589332305924857,0.8352499127092451,0.796717086282393,0.7495042229238965,0.7498733279001003,0.7469103745860013,0.7426664148212658,0.7168256726452905,0.6964595669872176,0.6923199374465918,0.6627986705290223
27,,,1.0250031243811075,0.9492654084054818,0.9083335582629893,0.8681469429375374,0.7852145907301112,0.7895156189567933,0.7879946167365779,0.8001105690323134,0.7804199539379747,0.7630347652711733,0.7484757288111247,0.7470298033197754
28,,,1.0095561291816861,,0.9081480762936035,0.8567055311183743,0.8185313753736219,0.8298933224189788,0.8126592378273164,0.8130036868383999,,0.7730352719293712,0.7232071223000884,0.7208049493741149
29,,,1.0834800466514996,1.037796935504071,0.9913542879447109,0.9468211860816591,0.8961281935492081,0.913358250999941,0.9078568816897932,0.9264782990310227,0.9134208754128581,0.9076085923682179,0.8739497052530677,0.8333348412694677
30,,,1.1198425788028634,1.0494680980447375,,,,,,,0.8607983613934229,0.8364806396638164,0.8182314123780948,
31,,,1.1460562340775429,,1.0209530388348484,,,0.9232234922736571,0.8892991033596909,0.9013808121973065,0.882162210318184,0.8466440472768844,0.8295211271242348,0.845098067019426
32,,,0.813875136800317,0.7644441382918199,0.7622119366746889,0.7140494576512942,0.6959295534922086,0.7089650613344181,0.677386837145977,0.7006638334355554,0.6506125693059415,0.6392682757859165,0.6545011800395254,0.6229882930968795
33,,,1.028925274471554,,,,,,,,,,,
34,,,0.8730492344952208,0.8162866014736732,0.7959831011820907,0.7527032138541588,0.7050222085693371,0.7033864704992895,0.6998030169664806,0.7054276795588715,0.6814303717580463,0.6568052389109585,0.6472690425133276,0.6419489248478687
35,,,1.1034028193639214,1.0122148000286786,0.9478735608659298,0.9104958634136542,0.8421030589413245,,0.832469637782512,0.8277805844134387,0.8022347590760964,0.7822411336526658,,
36,,,0.8807755675758946,0.8356634998318941,0.8299493652018838,0.7994646993770925,0.7796079994143124,0.765132268583598,0.7478020648911716,0.7551993913493316,0.7262102371701867,0.7012637091762092,0.6905196690054363,0.6739438250232564
37,,,0.9898418478870071,0.9259593129239143,0.896159588778643,0.844065812088597,0.8063769315190832,0.8100231779978925,0.7982437288463401,0.7973799187319862,0.764671070205916,0.7449191082516745,0.738508800229547,0.7425977917637958
